Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),2.0
Loan Term (months),180
Inflation Rate (%),2.5
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,שפיצר
Total Monthly Payments,180
Total Mortgage Interest,180905.82
Extraction Timestamp,20250729_002418
Monthly Income,"12,000.00"
Total Investment Amount,"753,432.04"
Total Investment Final Value,"1,413,727.56"
Total Investment Profit After Tax,"330,066.69"
Effective Annual Return After Tax,3.72%
Weighted Monthly Payment (30 years),"6,984.68"
Weighted Cost (should be ~0),-0.25
Weighted Investment Profit,"406,567.71"
Weighted Calculation Converged,Yes
