Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),6.0
Loan Term (months),300
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,300
Total Mortgage Interest,819762.29
Extraction Timestamp,20250727_172053
Monthly Income,"12,000.00"
Total Investment Amount,"1,643,724.43"
Total Investment Final Value,"4,016,433.82"
Total Investment Profit After Tax,"1,266,916.96"
Effective Annual Return After Tax,3.18%
Weighted Monthly Payment (30 years),"8,568.95"
Weighted Cost (should be ~0),0.28
Weighted Investment Profit,"956,275.85"
Weighted Calculation Converged,Yes
