Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),6.0
Loan Term (months),240
Inflation Rate (%),3.2
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,240
Total Mortgage Interest,755678.98
Extraction Timestamp,20250727_225531
Monthly Income,"12,000.00"
Total Investment Amount,"722,364.12"
Total Investment Final Value,"1,515,355.12"
Total Investment Profit After Tax,"410,234.52"
Effective Annual Return After Tax,3.28%
Weighted Monthly Payment (30 years),"10,271.56"
Weighted Cost (should be ~0),-0.12
Weighted Investment Profit,"1,157,635.76"
Weighted Calculation Converged,Yes
