Parameter,Value
Loan Type,זכאות
Interest Rate (%),2.0
Loan Term (months),336
Inflation Rate (%),2.0
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,336
Total Mortgage Interest,341830.16
Extraction Timestamp,20250727_162825
Monthly Income,"12,000.00"
Total Investment Amount,"2,348,908.45"
Total Investment Final Value,"7,402,262.92"
Total Investment Profit After Tax,"2,790,849.83"
Effective Annual Return After Tax,3.69%
Weighted Monthly Payment (30 years),"5,894.66"
Weighted Cost (should be ~0),-0.96
Weighted Investment Profit,"683,090.59"
Weighted Calculation Converged,Yes
