Parameter,Value
Loan Type,קבועה לא צמודה
Interest Rate (%),5.0
Loan Term (months),120
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,קבועה לא צמודה
Amortization Method,קרן שווה
Total Monthly Payments,120
Total Mortgage Interest,252083.33
Extraction Timestamp,20250728_092651
Monthly Income,"12,000.00"
Total Investment Amount,"191,770.83"
Total Investment Final Value,"238,325.01"
Total Investment Profit After Tax,"21,463.02"
Effective Annual Return After Tax,1.89%
Weighted Monthly Payment (30 years),"7,919.08"
Weighted Cost (should be ~0),0.38
Weighted Investment Profit,"252,083.72"
Weighted Calculation Converged,Yes
