Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),4.25
Loan Term (months),120
Inflation Rate (%),2.2
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,שפיצר
Total Monthly Payments,120
Total Mortgage Interest,247952.91
Extraction Timestamp,20250729_044021
Monthly Income,"12,000.00"
Total Investment Amount,"76,986.09"
Total Investment Final Value,"131,980.12"
Total Investment Profit After Tax,"26,559.16"
Effective Annual Return After Tax,4.81%
Weighted Monthly Payment (30 years),"8,488.95"
Weighted Cost (should be ~0),0.07
Weighted Investment Profit,"376,070.19"
Weighted Calculation Converged,Yes
