Parameter,Value
Loan Type,זכאות
Interest Rate (%),2.5
Loan Term (months),276
Inflation Rate (%),3.0
Loan Amount,1000000
Channel,זכאות
Amortization Method,שפיצר
Total Monthly Payments,276
Total Mortgage Interest,408098.01
Extraction Timestamp,20250729_034126
Monthly Income,"12,000.00"
Total Investment Amount,"1,415,405.62"
Total Investment Final Value,"3,925,312.75"
Total Investment Profit After Tax,"1,344,110.30"
Effective Annual Return After Tax,3.99%
Weighted Monthly Payment (30 years),"7,295.21"
Weighted Cost (should be ~0),0.06
Weighted Investment Profit,"896,594.44"
Weighted Calculation Converged,Yes
