Parameter,Value
Loan Type,זכאות
Interest Rate (%),2.75
Loan Term (months),144
Inflation Rate (%),3.5
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,144
Total Mortgage Interest,192406.89
Extraction Timestamp,20250727_151741
Monthly Income,"12,000.00"
Total Investment Amount,"291,423.77"
Total Investment Final Value,"478,496.71"
Total Investment Profit After Tax,"91,032.88"
Effective Annual Return After Tax,3.65%
Weighted Monthly Payment (30 years),"8,241.31"
Weighted Cost (should be ~0),0.67
Weighted Investment Profit,"436,576.90"
Weighted Calculation Converged,Yes
