Parameter,Value
Loan Type,זכאות
Interest Rate (%),3.5
Loan Term (months),228
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,228
Total Mortgage Interest,356342.81
Extraction Timestamp,20250727_224410
Monthly Income,"12,000.00"
Total Investment Amount,"1,277,929.73"
Total Investment Final Value,"2,572,616.51"
Total Investment Profit After Tax,"663,179.71"
Effective Annual Return After Tax,3.26%
Weighted Monthly Payment (30 years),"6,828.73"
Weighted Cost (should be ~0),0.29
Weighted Investment Profit,"458,070.56"
Weighted Calculation Converged,Yes
