Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),3.25
Loan Term (months),120
Inflation Rate (%),4.0
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,שפיצר
Total Monthly Payments,120
Total Mortgage Interest,199268.46
Extraction Timestamp,20250729_040149
Monthly Income,"12,000.00"
Total Investment Amount,"70,002.03"
Total Investment Final Value,"125,488.74"
Total Investment Profit After Tax,"26,949.47"
Effective Annual Return After Tax,5.23%
Weighted Monthly Payment (30 years),"8,866.81"
Weighted Cost (should be ~0),0.32
Weighted Investment Profit,"443,707.49"
Weighted Calculation Converged,Yes
