Parameter,Value
Loan Type,זכאות
Interest Rate (%),4.5
Loan Term (months),192
Inflation Rate (%),1.8
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,192
Total Mortgage Interest,399641.41
Extraction Timestamp,20250727_164512
Monthly Income,"12,000.00"
Total Investment Amount,"744,741.45"
Total Investment Final Value,"1,310,943.09"
Total Investment Profit After Tax,"282,501.57"
Effective Annual Return After Tax,3.12%
Weighted Monthly Payment (30 years),"8,073.10"
Weighted Cost (should be ~0),0.36
Weighted Investment Profit,"559,258.91"
Weighted Calculation Converged,Yes
