Parameter,Value
Loan Type,זכאות
Interest Rate (%),3.25
Loan Term (months),228
Inflation Rate (%),1.8
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,228
Total Mortgage Interest,349019.85
Extraction Timestamp,20250727_162604
Monthly Income,"12,000.00"
Total Investment Amount,"1,193,966.37"
Total Investment Final Value,"2,453,169.56"
Total Investment Profit After Tax,"646,506.64"
Effective Annual Return After Tax,3.36%
Weighted Monthly Payment (30 years),"7,131.21"
Weighted Cost (should be ~0),-0.50
Weighted Investment Profit,"542,033.13"
Weighted Calculation Converged,Yes
