Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),2.5
Loan Term (months),240
Inflation Rate (%),3.0
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,240
Total Mortgage Interest,310227.64
Extraction Timestamp,20250727_154934
Monthly Income,"12,000.00"
Total Investment Amount,"1,198,427.56"
Total Investment Final Value,"2,698,310.16"
Total Investment Profit After Tax,"780,054.98"
Effective Annual Return After Tax,3.62%
Weighted Monthly Payment (30 years),"7,385.98"
Weighted Cost (should be ~0),0.58
Weighted Investment Profit,"681,573.02"
Weighted Calculation Converged,Yes
