Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),3.25
Loan Term (months),120
Inflation Rate (%),1.2
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,120
Total Mortgage Interest,170720.58
Extraction Timestamp,20250727_154223
Monthly Income,"12,000.00"
Total Investment Amount,"206,307.11"
Total Investment Final Value,"282,858.07"
Total Investment Profit After Tax,"36,125.60"
Effective Annual Return After Tax,2.76%
Weighted Monthly Payment (30 years),"7,664.41"
Weighted Cost (should be ~0),0.24
Weighted Investment Profit,"233,693.13"
Weighted Calculation Converged,Yes
