Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),3.0
Loan Term (months),240
Inflation Rate (%),2.8
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,שפיצר
Total Monthly Payments,240
Total Mortgage Interest,406841.86
Extraction Timestamp,20250729_015514
Monthly Income,"12,000.00"
Total Investment Amount,"1,094,323.02"
Total Investment Final Value,"2,630,513.83"
Total Investment Profit After Tax,"802,804.78"
Effective Annual Return After Tax,3.92%
Weighted Monthly Payment (30 years),"7,626.09"
Weighted Cost (should be ~0),-0.25
Weighted Investment Profit,"785,676.73"
Weighted Calculation Converged,Yes
