Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),2.75
Loan Term (months),168
Inflation Rate (%),3.5
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,168
Total Mortgage Interest,229958.36
Extraction Timestamp,20250727_151831
Monthly Income,"12,000.00"
Total Investment Amount,"494,218.51"
Total Investment Final Value,"874,809.55"
Total Investment Profit After Tax,"188,384.04"
Effective Annual Return After Tax,3.61%
Weighted Monthly Payment (30 years),"8,108.16"
Weighted Cost (should be ~0),0.06
Weighted Investment Profit,"521,781.56"
Weighted Calculation Converged,Yes
