Parameter,Value
Loan Type,זכאות
Interest Rate (%),4.0
Loan Term (months),348
Inflation Rate (%),3.5
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,348
Total Mortgage Interest,841754.94
Extraction Timestamp,20250727_155659
Monthly Income,"12,000.00"
Total Investment Amount,"1,599,851.47"
Total Investment Final Value,"5,565,804.18"
Total Investment Profit After Tax,"2,216,697.50"
Effective Annual Return After Tax,3.88%
Weighted Monthly Payment (30 years),"9,330.19"
Weighted Cost (should be ~0),-0.58
Weighted Investment Profit,"1,576,147.95"
Weighted Calculation Converged,Yes
