Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),4.5
Loan Term (months),300
Inflation Rate (%),3.8
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,300
Total Mortgage Interest,796359.41
Extraction Timestamp,20250728_083433
Monthly Income,"12,000.00"
Total Investment Amount,"1,133,282.11"
Total Investment Final Value,"3,281,990.54"
Total Investment Profit After Tax,"1,166,416.13"
Effective Annual Return After Tax,3.82%
Weighted Monthly Payment (30 years),"9,977.04"
Weighted Cost (should be ~0),-0.09
Weighted Investment Profit,"1,466,717.80"
Weighted Calculation Converged,Yes
