Parameter,Value
Loan Type,קבועה לא צמודה
Interest Rate (%),4.75
Loan Term (months),144
Inflation Rate (%),3.8
Loan Amount,1000000
Channel,קבועה לא צמודה
Amortization Method,קרן שווה
Total Monthly Payments,144
Total Mortgage Interest,286979.17
Extraction Timestamp,20250728_090001
Monthly Income,"12,000.00"
Total Investment Amount,"441,020.83"
Total Investment Final Value,"630,455.76"
Total Investment Profit After Tax,"90,481.40"
Effective Annual Return After Tax,2.60%
Weighted Monthly Payment (30 years),"7,587.32"
Weighted Cost (should be ~0),-0.47
Weighted Investment Profit,"286,978.70"
Weighted Calculation Converged,Yes
