Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),2.0
Loan Term (months),180
Inflation Rate (%),1.8
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,180
Total Mortgage Interest,165531.98
Extraction Timestamp,20250727_160021
Monthly Income,"12,000.00"
Total Investment Amount,"845,712.38"
Total Investment Final Value,"1,499,775.50"
Total Investment Profit After Tax,"325,244.27"
Effective Annual Return After Tax,3.37%
Weighted Monthly Payment (30 years),"6,667.75"
Weighted Cost (should be ~0),0.71
Weighted Investment Profit,"314,288.33"
Weighted Calculation Converged,Yes
