Parameter,Value
Loan Type,זכאות
Interest Rate (%),4.25
Loan Term (months),276
Inflation Rate (%),3.0
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,276
Total Mortgage Interest,626702.02
Extraction Timestamp,20250727_231309
Monthly Income,"12,000.00"
Total Investment Amount,"1,244,023.26"
Total Investment Final Value,"3,112,577.83"
Total Investment Profit After Tax,"993,730.38"
Effective Annual Return After Tax,3.56%
Weighted Monthly Payment (30 years),"8,832.06"
Weighted Cost (should be ~0),-0.93
Weighted Investment Profit,"1,067,975.80"
Weighted Calculation Converged,Yes
