Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),2.75
Loan Term (months),360
Inflation Rate (%),2.5
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,360
Total Mortgage Interest,540376.73
Extraction Timestamp,20250727_223323
Monthly Income,"12,000.00"
Total Investment Amount,"2,289,393.02"
Total Investment Final Value,"7,988,912.29"
Total Investment Profit After Tax,"3,196,332.37"
Effective Annual Return After Tax,3.76%
Weighted Monthly Payment (30 years),"6,977.37"
Weighted Cost (should be ~0),-0.17
Weighted Investment Profit,"1,030,606.81"
Weighted Calculation Converged,Yes
