Parameter,Value
Loan Type,זכאות
Interest Rate (%),2.5
Loan Term (months),144
Inflation Rate (%),1.8
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,144
Total Mortgage Interest,162685.08
Extraction Timestamp,20250727_194925
Monthly Income,"12,000.00"
Total Investment Amount,"448,357.09"
Total Investment Final Value,"697,500.90"
Total Investment Profit After Tax,"120,536.14"
Effective Annual Return After Tax,3.24%
Weighted Monthly Payment (30 years),"7,304.57"
Weighted Cost (should be ~0),-0.28
Weighted Investment Profit,"279,642.62"
Weighted Calculation Converged,Yes
