Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),4.0
Loan Term (months),180
Inflation Rate (%),2.8
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,180
Total Mortgage Interest,349225.57
Extraction Timestamp,20250727_230112
Monthly Income,"12,000.00"
Total Investment Amount,"566,885.60"
Total Investment Final Value,"993,800.13"
Total Investment Profit After Tax,"212,117.48"
Effective Annual Return After Tax,3.30%
Weighted Monthly Payment (30 years),"8,390.79"
Weighted Cost (should be ~0),-0.59
Weighted Investment Profit,"593,113.81"
Weighted Calculation Converged,Yes
