Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),2.0
Loan Term (months),180
Inflation Rate (%),3.8
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,180
Total Mortgage Interest,184426.19
Extraction Timestamp,20250727_190858
Monthly Income,"12,000.00"
Total Investment Amount,"626,270.17"
Total Investment Final Value,"1,180,437.81"
Total Investment Profit After Tax,"277,168.81"
Effective Annual Return After Tax,3.75%
Weighted Monthly Payment (30 years),"7,778.73"
Weighted Cost (should be ~0),-0.51
Weighted Investment Profit,"533,729.32"
Weighted Calculation Converged,Yes
