Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),5.0
Loan Term (months),300
Inflation Rate (%),3.5
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,300
Total Mortgage Interest,859468.08
Extraction Timestamp,20250727_192531
Monthly Income,"12,000.00"
Total Investment Amount,"1,140,653.91"
Total Investment Final Value,"3,187,803.82"
Total Investment Profit After Tax,"1,108,483.28"
Effective Annual Return After Tax,3.68%
Weighted Monthly Payment (30 years),"10,123.22"
Weighted Cost (should be ~0),0.89
Weighted Investment Profit,"1,459,346.98"
Weighted Calculation Converged,Yes
