Parameter,Value
Loan Type,זכאות
Interest Rate (%),5.25
Loan Term (months),324
Inflation Rate (%),1.2
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,324
Total Mortgage Interest,794855.33
Extraction Timestamp,20250728_105427
Monthly Income,"12,000.00"
Total Investment Amount,"1,911,644.95"
Total Investment Final Value,"5,238,610.74"
Total Investment Profit After Tax,"1,809,061.21"
Effective Annual Return After Tax,3.34%
Weighted Monthly Payment (30 years),"8,143.88"
Weighted Cost (should be ~0),0.06
Weighted Investment Profit,"976,355.12"
Weighted Calculation Converged,Yes
