Parameter,Value
Loan Type,זכאות
Interest Rate (%),3.25
Loan Term (months),144
Inflation Rate (%),1.2
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,144
Total Mortgage Interest,206261.63
Extraction Timestamp,20250727_154401
Monthly Income,"12,000.00"
Total Investment Amount,"445,656.31"
Total Investment Final Value,"674,174.69"
Total Investment Profit After Tax,"110,164.35"
Effective Annual Return After Tax,3.03%
Weighted Monthly Payment (30 years),"7,401.54"
Weighted Cost (should be ~0),-0.25
Weighted Investment Profit,"282,343.44"
Weighted Calculation Converged,Yes
