Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),2.5
Loan Term (months),240
Inflation Rate (%),3.5
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,240
Total Mortgage Interest,322010.79
Extraction Timestamp,20250727_162638
Monthly Income,"12,000.00"
Total Investment Amount,"1,108,485.17"
Total Investment Final Value,"2,548,950.40"
Total Investment Profit After Tax,"750,501.76"
Effective Annual Return After Tax,3.71%
Weighted Monthly Payment (30 years),"7,772.56"
Weighted Cost (should be ~0),-0.30
Weighted Investment Profit,"771,514.53"
Weighted Calculation Converged,Yes
