Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),3.5
Loan Term (months),360
Inflation Rate (%),2.0
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,360
Total Mortgage Interest,650266.82
Extraction Timestamp,20250727_155818
Monthly Income,"12,000.00"
Total Investment Amount,"2,298,770.41"
Total Investment Final Value,"7,737,255.07"
Total Investment Profit After Tax,"3,041,800.28"
Effective Annual Return After Tax,3.64%
Weighted Monthly Payment (30 years),"7,257.61"
Weighted Cost (should be ~0),0.75
Weighted Investment Profit,"1,021,230.34"
Weighted Calculation Converged,Yes
