Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),3.25
Loan Term (months),216
Inflation Rate (%),3.0
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,216
Total Mortgage Interest,355252.28
Extraction Timestamp,20250727_183751
Monthly Income,"12,000.00"
Total Investment Amount,"909,640.31"
Total Investment Final Value,"1,854,098.00"
Total Investment Profit After Tax,"482,612.56"
Effective Annual Return After Tax,3.51%
Weighted Monthly Payment (30 years),"7,962.42"
Weighted Cost (should be ~0),-0.16
Weighted Investment Profit,"682,359.53"
Weighted Calculation Converged,Yes
