Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),3.0
Loan Term (months),240
Inflation Rate (%),3.5
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,240
Total Mortgage Interest,386412.94
Extraction Timestamp,20250727_231530
Monthly Income,"12,000.00"
Total Investment Amount,"1,044,083.01"
Total Investment Final Value,"2,385,454.34"
Total Investment Profit After Tax,"698,597.59"
Effective Annual Return After Tax,3.68%
Weighted Monthly Payment (30 years),"8,164.46"
Weighted Cost (should be ~0),0.17
Weighted Investment Profit,"835,917.16"
Weighted Calculation Converged,Yes
