Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),2.25
Loan Term (months),96
Inflation Rate (%),1.5
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,96
Total Mortgage Interest,94763.66
Extraction Timestamp,20250727_224527
Monthly Income,"12,000.00"
Total Investment Amount,"4,083.34"
Total Investment Final Value,"4,387.03"
Total Investment Profit After Tax,134.21
Effective Annual Return After Tax,0.77%
Weighted Monthly Payment (30 years),"7,717.83"
Weighted Cost (should be ~0),-0.36
Weighted Investment Profit,"157,860.21"
Weighted Calculation Converged,Yes
