Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),2.75
Loan Term (months),312
Inflation Rate (%),3.5
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,312
Total Mortgage Interest,358645.83
Extraction Timestamp,20250727_153447
Monthly Income,"12,000.00"
Total Investment Amount,"2,385,354.17"
Total Investment Final Value,"6,483,575.46"
Total Investment Profit After Tax,"2,218,245.70"
Effective Annual Return After Tax,3.44%
Weighted Monthly Payment (30 years),"5,289.05"
Weighted Cost (should be ~0),-0.92
Weighted Investment Profit,"358,644.91"
Weighted Calculation Converged,Yes
