Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),3.25
Loan Term (months),336
Inflation Rate (%),3.5
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,336
Total Mortgage Interest,651422.57
Extraction Timestamp,20250727_192336
Monthly Income,"12,000.00"
Total Investment Amount,"1,681,085.62"
Total Investment Final Value,"5,613,572.96"
Total Investment Profit After Tax,"2,182,115.46"
Effective Annual Return After Tax,3.88%
Weighted Monthly Payment (30 years),"8,507.21"
Weighted Cost (should be ~0),-0.20
Weighted Investment Profit,"1,350,914.18"
Weighted Calculation Converged,Yes
