Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),5.25
Loan Term (months),240
Inflation Rate (%),2.2
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,240
Total Mortgage Interest,614495.90
Extraction Timestamp,20250728_090728
Monthly Income,"12,000.00"
Total Investment Amount,"1,008,472.28"
Total Investment Final Value,"2,086,236.27"
Total Investment Profit After Tax,"556,106.08"
Effective Annual Return After Tax,3.22%
Weighted Monthly Payment (30 years),"8,848.58"
Weighted Cost (should be ~0),-0.17
Weighted Investment Profit,"871,527.55"
Weighted Calculation Converged,Yes
