Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),3.25
Loan Term (months),360
Inflation Rate (%),3.0
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,360
Total Mortgage Interest,676343.69
Extraction Timestamp,20250727_184701
Monthly Income,"12,000.00"
Total Investment Amount,"2,020,895.96"
Total Investment Final Value,"7,193,300.84"
Total Investment Profit After Tax,"2,905,538.64"
Effective Annual Return After Tax,3.82%
Weighted Monthly Payment (30 years),"7,991.13"
Weighted Cost (should be ~0),-0.03
Weighted Investment Profit,"1,299,104.01"
Weighted Calculation Converged,Yes
