Parameter,Value
Loan Type,זכאות
Interest Rate (%),5.0
Loan Term (months),156
Inflation Rate (%),2.5
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,156
Total Mortgage Interest,366065.12
Extraction Timestamp,20250727_180041
Monthly Income,"12,000.00"
Total Investment Amount,"323,282.84"
Total Investment Final Value,"496,641.21"
Total Investment Profit After Tax,"84,104.95"
Effective Annual Return After Tax,2.90%
Weighted Monthly Payment (30 years),"8,848.31"
Weighted Cost (should be ~0),-0.34
Weighted Investment Profit,"548,716.82"
Weighted Calculation Converged,Yes
