Parameter,Value
Loan Type,זכאות
Interest Rate (%),5.0
Loan Term (months),288
Inflation Rate (%),1.2
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,288
Total Mortgage Interest,664711.36
Extraction Timestamp,20250728_094820
Monthly Income,"12,000.00"
Total Investment Amount,"1,631,917.29"
Total Investment Final Value,"3,947,312.14"
Total Investment Profit After Tax,"1,231,128.60"
Effective Annual Return After Tax,3.28%
Weighted Monthly Payment (30 years),"7,928.42"
Weighted Cost (should be ~0),-0.42
Weighted Investment Profit,"824,082.30"
Weighted Calculation Converged,Yes
