Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),4.25
Loan Term (months),288
Inflation Rate (%),3.8
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,288
Total Mortgage Interest,711580.88
Extraction Timestamp,20250727_150742
Monthly Income,"12,000.00"
Total Investment Amount,"1,110,190.48"
Total Investment Final Value,"3,069,520.82"
Total Investment Profit After Tax,"1,055,193.84"
Effective Annual Return After Tax,3.80%
Weighted Monthly Payment (30 years),"9,672.03"
Weighted Cost (should be ~0),0.67
Weighted Investment Profit,"1,345,810.19"
Weighted Calculation Converged,Yes
