Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),2.0
Loan Term (months),300
Inflation Rate (%),2.0
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,300
Total Mortgage Interest,298727.59
Extraction Timestamp,20250727_162602
Monthly Income,"12,000.00"
Total Investment Amount,"2,003,041.88"
Total Investment Final Value,"5,500,549.02"
Total Investment Profit After Tax,"1,888,478.80"
Effective Annual Return After Tax,3.62%
Weighted Monthly Payment (30 years),"6,043.82"
Weighted Cost (should be ~0),-0.09
Weighted Investment Profit,"596,958.03"
Weighted Calculation Converged,Yes
