Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),5.5
Loan Term (months),240
Inflation Rate (%),3.5
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,240
Total Mortgage Interest,708423.73
Extraction Timestamp,20250727_171204
Monthly Income,"12,000.00"
Total Investment Amount,"722,072.23"
Total Investment Final Value,"1,567,974.07"
Total Investment Profit After Tax,"439,076.78"
Effective Annual Return After Tax,3.45%
Weighted Monthly Payment (30 years),"10,154.33"
Weighted Cost (should be ~0),0.25
Weighted Investment Profit,"1,157,928.02"
Weighted Calculation Converged,Yes
