Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),6.0
Loan Term (months),216
Inflation Rate (%),3.5
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,216
Total Mortgage Interest,678010.80
Extraction Timestamp,20250727_230923
Monthly Income,"12,000.00"
Total Investment Amount,"519,633.11"
Total Investment Final Value,"1,009,499.47"
Total Investment Profit After Tax,"249,501.37"
Effective Annual Return After Tax,3.26%
Weighted Monthly Payment (30 years),"10,332.55"
Weighted Cost (should be ~0),0.21
Weighted Investment Profit,"1,072,367.10"
Weighted Calculation Converged,Yes
