Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),4.5
Loan Term (months),300
Inflation Rate (%),1.8
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,300
Total Mortgage Interest,660072.92
Extraction Timestamp,20250727_171520
Monthly Income,"12,000.00"
Total Investment Amount,"1,676,293.36"
Total Investment Final Value,"4,356,995.48"
Total Investment Profit After Tax,"1,440,847.17"
Effective Annual Return After Tax,3.41%
Weighted Monthly Payment (30 years),"8,013.51"
Weighted Cost (should be ~0),-0.20
Weighted Investment Profit,"923,706.44"
Weighted Calculation Converged,Yes
