Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),4.25
Loan Term (months),120
Inflation Rate (%),1.2
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,שפיצר
Total Monthly Payments,120
Total Mortgage Interest,239190.48
Extraction Timestamp,20250729_041005
Monthly Income,"12,000.00"
Total Investment Amount,"133,340.85"
Total Investment Final Value,"206,545.41"
Total Investment Profit After Tax,"35,044.33"
Effective Annual Return After Tax,3.87%
Weighted Monthly Payment (30 years),"8,047.57"
Weighted Cost (should be ~0),-0.06
Weighted Investment Profit,"306,659.09"
Weighted Calculation Converged,Yes
