Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),3.5
Loan Term (months),240
Inflation Rate (%),1.5
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,240
Total Mortgage Interest,389709.48
Extraction Timestamp,20250727_150655
Monthly Income,"12,000.00"
Total Investment Amount,"1,323,480.68"
Total Investment Final Value,"2,805,940.09"
Total Investment Profit After Tax,"766,529.89"
Effective Annual Return After Tax,3.33%
Weighted Monthly Payment (30 years),"7,078.75"
Weighted Cost (should be ~0),0.12
Weighted Investment Profit,"556,519.44"
Weighted Calculation Converged,Yes
