Parameter,Value
Loan Type,זכאות
Interest Rate (%),3.25
Loan Term (months),204
Inflation Rate (%),1.8
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,204
Total Mortgage Interest,308512.88
Extraction Timestamp,20250727_162438
Monthly Income,"12,000.00"
Total Investment Amount,"968,874.36"
Total Investment Final Value,"1,828,872.62"
Total Investment Profit After Tax,"434,151.30"
Effective Annual Return After Tax,3.31%
Weighted Monthly Payment (30 years),"7,236.15"
Weighted Cost (should be ~0),-0.26
Weighted Investment Profit,"479,125.38"
Weighted Calculation Converged,Yes
