Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),4.25
Loan Term (months),120
Inflation Rate (%),2.8
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,שפיצר
Total Monthly Payments,120
Total Mortgage Interest,253431.47
Extraction Timestamp,20250729_045530
Monthly Income,"12,000.00"
Total Investment Amount,"60,315.29"
Total Investment Final Value,"106,946.95"
Total Investment Profit After Tax,"22,615.25"
Effective Annual Return After Tax,5.12%
Weighted Monthly Payment (30 years),"8,767.50"
Weighted Cost (should be ~0),-0.87
Weighted Investment Profit,"420,008.53"
Weighted Calculation Converged,Yes
