Parameter,Value
Loan Type,משתנה לא צמודה
Interest Rate (%),2.0
Loan Term (months),120
Inflation Rate (%),1.8
Loan Amount,1000000
Channel,משתנה לא צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,120
Total Mortgage Interest,100833.33
Extraction Timestamp,20250727_155655
Monthly Income,"12,000.00"
Total Investment Amount,"339,166.67"
Total Investment Final Value,"475,318.63"
Total Investment Profit After Tax,"64,456.93"
Effective Annual Return After Tax,2.96%
Weighted Monthly Payment (30 years),"6,709.13"
Weighted Cost (should be ~0),0.51
Weighted Investment Profit,"100,833.84"
Weighted Calculation Converged,Yes
