Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),4.5
Loan Term (months),180
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,180
Total Mortgage Interest,357191.57
Extraction Timestamp,20250727_154600
Monthly Income,"12,000.00"
Total Investment Amount,"723,498.61"
Total Investment Final Value,"1,204,160.01"
Total Investment Profit After Tax,"237,206.43"
Effective Annual Return After Tax,2.99%
Weighted Monthly Payment (30 years),"7,686.66"
Weighted Cost (should be ~0),-0.40
Weighted Investment Profit,"436,500.98"
Weighted Calculation Converged,Yes
