Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),4.25
Loan Term (months),144
Inflation Rate (%),1.8
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,144
Total Mortgage Interest,276564.64
Extraction Timestamp,20250727_181703
Monthly Income,"12,000.00"
Total Investment Amount,"334,477.54"
Total Investment Final Value,"496,232.68"
Total Investment Profit After Tax,"77,783.90"
Effective Annual Return After Tax,2.88%
Weighted Monthly Payment (30 years),"8,159.38"
Weighted Cost (should be ~0),-0.90
Weighted Investment Profit,"393,521.56"
Weighted Calculation Converged,Yes
