Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),2.5
Loan Term (months),168
Inflation Rate (%),2.2
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,168
Total Mortgage Interest,195819.98
Extraction Timestamp,20250728_085018
Monthly Income,"12,000.00"
Total Investment Amount,"648,173.77"
Total Investment Final Value,"1,104,156.72"
Total Investment Profit After Tax,"224,811.53"
Effective Annual Return After Tax,3.36%
Weighted Monthly Payment (30 years),"7,263.12"
Weighted Cost (should be ~0),-0.32
Weighted Investment Profit,"367,825.90"
Weighted Calculation Converged,Yes
