Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),2.5
Loan Term (months),348
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,348
Total Mortgage Interest,401595.80
Extraction Timestamp,20250727_190326
Monthly Income,"12,000.00"
Total Investment Amount,"2,613,899.63"
Total Investment Final Value,"8,315,611.42"
Total Investment Profit After Tax,"3,162,348.71"
Effective Annual Return After Tax,3.59%
Weighted Monthly Payment (30 years),"5,561.87"
Weighted Cost (should be ~0),-0.95
Weighted Investment Profit,"562,099.41"
Weighted Calculation Converged,Yes
