Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),5.25
Loan Term (months),312
Inflation Rate (%),2.0
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,312
Total Mortgage Interest,821352.21
Extraction Timestamp,20250728_085613
Monthly Income,"12,000.00"
Total Investment Amount,"1,610,272.33"
Total Investment Final Value,"4,318,076.25"
Total Investment Profit After Tax,"1,465,218.99"
Effective Annual Return After Tax,3.39%
Weighted Monthly Payment (30 years),"8,854.71"
Weighted Cost (should be ~0),-0.10
Weighted Investment Profit,"1,133,727.57"
Weighted Calculation Converged,Yes
