Parameter,Value
Loan Type,זכאות
Interest Rate (%),2.25
Loan Term (months),240
Inflation Rate (%),3.5
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,240
Total Mortgage Interest,289809.71
Extraction Timestamp,20250727_180034
Monthly Income,"12,000.00"
Total Investment Amount,"1,140,686.25"
Total Investment Final Value,"2,630,698.43"
Total Investment Profit After Tax,"776,453.84"
Effective Annual Return After Tax,3.73%
Weighted Monthly Payment (30 years),"7,577.36"
Weighted Cost (should be ~0),0.58
Weighted Investment Profit,"739,314.33"
Weighted Calculation Converged,Yes
