Parameter,Value
Loan Type,זכאות
Interest Rate (%),3.75
Loan Term (months),144
Inflation Rate (%),3.0
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,144
Total Mortgage Interest,256776.97
Extraction Timestamp,20250727_160320
Monthly Income,"12,000.00"
Total Investment Amount,"266,313.73"
Total Investment Final Value,"416,724.86"
Total Investment Profit After Tax,"72,850.60"
Effective Annual Return After Tax,3.28%
Weighted Monthly Payment (30 years),"8,501.70"
Weighted Cost (should be ~0),-0.71
Weighted Investment Profit,"461,685.55"
Weighted Calculation Converged,Yes
