Parameter,Value
Loan Type,משתנה לא צמודה
Interest Rate (%),5.25
Loan Term (months),180
Inflation Rate (%),3.5
Loan Amount,1000000
Channel,משתנה לא צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,180
Total Mortgage Interest,395937.50
Extraction Timestamp,20250727_182036
Monthly Income,"12,000.00"
Total Investment Amount,"764,062.50"
Total Investment Final Value,"1,233,767.34"
Total Investment Profit After Tax,"230,700.57"
Effective Annual Return After Tax,2.80%
Weighted Monthly Payment (30 years),"7,604.55"
Weighted Cost (should be ~0),-0.00
Weighted Investment Profit,"395,937.50"
Weighted Calculation Converged,Yes
