Parameter,Value
Loan Type,זכאות
Interest Rate (%),2.25
Loan Term (months),192
Inflation Rate (%),4.0
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,192
Total Mortgage Interest,227024.31
Extraction Timestamp,20250727_183522
Monthly Income,"12,000.00"
Total Investment Amount,"674,717.77"
Total Investment Final Value,"1,335,810.98"
Total Investment Profit After Tax,"333,711.76"
Effective Annual Return After Tax,3.80%
Weighted Monthly Payment (30 years),"8,032.26"
Weighted Cost (should be ~0),-0.27
Weighted Investment Profit,"629,281.96"
Weighted Calculation Converged,Yes
