Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),3.25
Loan Term (months),180
Inflation Rate (%),3.5
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,180
Total Mortgage Interest,294776.95
Extraction Timestamp,20250727_191419
Monthly Income,"12,000.00"
Total Investment Amount,"548,694.16"
Total Investment Final Value,"1,003,950.67"
Total Investment Profit After Tax,"227,164.84"
Effective Annual Return After Tax,3.57%
Weighted Monthly Payment (30 years),"8,360.97"
Weighted Cost (should be ~0),-0.84
Weighted Investment Profit,"611,305.00"
Weighted Calculation Converged,Yes
