Parameter,Value
Loan Type,קבועה צמודה
Interest Rate (%),4.5
Loan Term (months),144
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,קבועה צמודה
Amortization Method,קרן שווה
Total Monthly Payments,144
Total Mortgage Interest,283237.45
Extraction Timestamp,20250727_154331
Monthly Income,"12,000.00"
Total Investment Amount,"381,873.30"
Total Investment Final Value,"554,897.62"
Total Investment Profit After Tax,"82,909.48"
Effective Annual Return After Tax,2.72%
Weighted Monthly Payment (30 years),"7,907.42"
Weighted Cost (should be ~0),-0.71
Weighted Investment Profit,"346,125.99"
Weighted Calculation Converged,Yes
