Parameter,Value
Loan Type,זכאות
Interest Rate (%),4.25
Loan Term (months),216
Inflation Rate (%),1.0
Loan Amount,1000000
Channel,זכאות
Amortization Method,קרן שווה
Total Monthly Payments,216
Total Mortgage Interest,408621.16
Extraction Timestamp,20250727_171005
Monthly Income,"12,000.00"
Total Investment Amount,"1,087,312.74"
Total Investment Final Value,"2,065,953.14"
Total Investment Profit After Tax,"496,209.49"
Effective Annual Return After Tax,3.15%
Weighted Monthly Payment (30 years),"7,376.04"
Weighted Cost (should be ~0),-0.31
Weighted Investment Profit,"504,686.95"
Weighted Calculation Converged,Yes
