Parameter,Value
Loan Type,משתנה לא צמודה
Interest Rate (%),3.5
Loan Term (months),348
Inflation Rate (%),1.8
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,348
Total Mortgage Interest,508958.33
Extraction Timestamp,20250727_153921
Monthly Income,"12,000.00"
Total Investment Amount,"2,667,041.67"
Total Investment Final Value,"8,158,615.17"
Total Investment Profit After Tax,"3,034,652.26"
Effective Annual Return After Tax,3.46%
Weighted Monthly Payment (30 years),"5,728.07"
Weighted Cost (should be ~0),0.93
Weighted Investment Profit,"508,959.27"
Weighted Calculation Converged,Yes
