Parameter,Value
Loan Type,משתנה לא צמודה
Interest Rate (%),3.75
Loan Term (months),120
Inflation Rate (%),3.2
Loan Amount,1000000
Channel,משתנה לא צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,120
Total Mortgage Interest,189062.50
Extraction Timestamp,20250727_162022
Monthly Income,"12,000.00"
Total Investment Amount,"250,937.50"
Total Investment Final Value,"332,669.33"
Total Investment Profit After Tax,"38,316.23"
Effective Annual Return After Tax,2.46%
Weighted Monthly Payment (30 years),"7,414.94"
Weighted Cost (should be ~0),-0.04
Weighted Investment Profit,"189,062.46"
Weighted Calculation Converged,Yes
