Parameter,Value
Loan Type,משתנה צמודה
Interest Rate (%),3.0
Loan Term (months),120
Inflation Rate (%),2.5
Loan Amount,1000000
Channel,משתנה צמודה כל 5
Amortization Method,קרן שווה
Total Monthly Payments,120
Total Mortgage Interest,164899.14
Extraction Timestamp,20250727_185117
Monthly Income,"12,000.00"
Total Investment Amount,"137,970.59"
Total Investment Final Value,"198,975.76"
Total Investment Profit After Tax,"29,005.23"
Effective Annual Return After Tax,3.21%
Weighted Monthly Payment (30 years),"8,083.02"
Weighted Cost (should be ~0),-0.11
Weighted Investment Profit,"302,029.30"
Weighted Calculation Converged,Yes
